"DateTime";"PH Suelo PH"
"2023-04-05 21:06:50";2,67
"2023-04-05 21:26:49";2,67
"2023-04-05 21:46:49";2,67
"2023-04-05 22:06:49";2,68
"2023-04-05 22:26:49";2,68
"2023-04-05 22:46:49";2,68
"2023-04-05 23:06:49";2,68
"2023-04-05 23:26:48";2,69
"2023-04-05 23:46:49";2,69
"2023-04-06 00:06:49";2,69
"2023-04-06 00:26:49";2,69
"2023-04-06 00:46:49";2,69
"2023-04-06 01:26:49";2,7
"2023-04-06 01:46:49";2,7
"2023-04-06 02:06:49";2,7
"2023-04-06 02:26:49";2,7
"2023-04-06 02:46:49";2,7
"2023-04-06 03:06:49";2,7
"2023-04-06 03:26:48";2,7
"2023-04-06 03:46:49";2,71
"2023-04-06 04:06:49";2,71
"2023-04-06 04:26:49";2,71
"2023-04-06 04:46:49";2,71
"2023-04-06 05:06:49";2,71
"2023-04-06 05:26:49";2,71
"2023-04-06 05:46:48";2,72
"2023-04-06 06:06:49";2,72
"2023-04-06 06:26:48";2,72
"2023-04-06 06:46:48";2,72
"2023-04-06 07:06:48";2,72
"2023-04-06 07:26:48";2,72
"2023-04-06 07:46:48";2,72
"2023-04-06 08:06:48";2,72
"2023-04-06 08:26:48";2,72
"2023-04-06 08:46:48";2,72
"2023-04-06 09:06:48";2,72
"2023-04-06 09:26:48";2,72
"2023-04-06 09:46:48";2,72
"2023-04-06 10:06:48";2,71
"2023-04-06 10:26:47";2,71
"2023-04-06 10:46:48";2,71
"2023-04-06 11:06:48";2,71
"2023-04-06 11:26:48";2,7
"2023-04-06 12:06:48";2,7
"2023-04-06 12:26:47";2,69
"2023-04-06 12:46:48";2,69
"2023-04-06 13:06:47";2,69
"2023-04-06 13:26:48";2,68
"2023-04-06 13:46:47";2,68
"2023-04-06 14:06:48";2,68
"2023-04-06 14:26:48";2,67
"2023-04-06 14:46:47";2,67
"2023-04-06 15:06:47";2,66
"2023-04-06 15:26:47";2,66
"2023-04-06 15:46:47";2,66
"2023-04-06 16:06:47";2,66
"2023-04-06 16:26:47";2,66
"2023-04-06 16:46:47";2,65
"2023-04-06 17:06:47";2,65
"2023-04-06 17:26:47";2,65
"2023-04-06 17:46:47";2,66
"2023-04-06 18:06:47";2,66
"2023-04-06 18:26:47";2,66
"2023-04-06 18:46:47";2,66
"2023-04-06 19:06:47";2,66
"2023-04-06 19:26:46";2,66
"2023-04-06 19:46:47";2,67
"2023-04-06 20:06:47";2,67
"2023-04-06 20:26:47";2,67
"2023-04-06 20:46:46";2,67
"2023-04-06 21:06:47";2,67
"2023-04-06 21:26:47";2,68
"2023-04-06 21:46:47";2,68
"2023-04-06 22:06:47";2,68
"2023-04-06 22:26:47";2,68
"2023-04-06 22:46:47";2,68
"2023-04-06 23:06:47";2,68
"2023-04-06 23:26:47";2,69
"2023-04-06 23:46:46";2,69
"2023-04-07 00:06:46";2,69
"2023-04-07 00:26:46";2,69
"2023-04-07 00:46:46";2,69
"2023-04-07 01:06:46";2,69
"2023-04-07 01:26:46";2,69
"2023-04-07 01:46:46";2,69
"2023-04-07 02:06:45";2,69
"2023-04-07 02:26:45";2,7
"2023-04-07 02:46:46";2,7
"2023-04-07 03:06:46";2,7
"2023-04-07 03:26:46";2,7
"2023-04-07 03:46:46";2,7
"2023-04-07 04:06:45";2,7
"2023-04-07 04:26:46";2,7
"2023-04-07 04:46:45";2,7
"2023-04-07 05:06:46";2,7
"2023-04-07 05:26:45";2,71
"2023-04-07 05:46:46";2,71
"2023-04-07 06:06:45";2,71
"2023-04-07 06:26:46";2,71
"2023-04-07 06:46:46";2,71
"2023-04-07 07:06:46";2,71
"2023-04-07 07:26:46";2,71
"2023-04-07 07:46:46";2,71
"2023-04-07 08:06:46";2,71
"2023-04-07 08:26:45";2,71
"2023-04-07 08:46:45";2,71
"2023-04-07 09:06:45";2,71
"2023-04-07 09:26:45";2,71
"2023-04-07 09:46:45";2,71
"2023-04-07 10:06:45";2,71
"2023-04-07 10:26:45";2,7
"2023-04-07 10:46:45";2,7
"2023-04-07 11:06:45";2,7
"2023-04-07 11:26:45";2,7
"2023-04-07 11:46:45";2,69
"2023-04-07 12:26:45";2,69
"2023-04-07 12:46:44";2,69
"2023-04-07 13:06:45";2,68
"2023-04-07 13:26:45";2,68
"2023-04-07 13:46:45";2,68
"2023-04-07 14:06:44";2,67
"2023-04-07 14:26:45";2,67
"2023-04-07 14:46:45";2,67
"2023-04-07 15:06:45";2,66
"2023-04-07 15:26:45";2,66
"2023-04-07 15:46:44";2,65
"2023-04-07 16:06:45";2,65
"2023-04-07 16:26:45";2,65
"2023-04-07 16:46:45";2,65
"2023-04-07 17:06:44";2,65
"2023-04-07 17:26:44";2,64
"2023-04-07 17:46:44";2,64
"2023-04-07 18:06:44";2,64
"2023-04-07 18:26:44";2,64
"2023-04-07 18:46:44";2,65
"2023-04-07 19:06:44";2,65
"2023-04-07 19:26:43";2,65
"2023-04-07 19:46:44";2,65
"2023-04-07 20:06:43";2,65
"2023-04-07 20:26:44";2,65
"2023-04-07 20:46:44";2,66
"2023-04-07 21:06:44";2,66
"2023-04-07 21:26:44";2,66
"2023-04-07 21:46:44";2,66
"2023-04-07 22:06:44";2,66
"2023-04-07 22:26:44";2,67
"2023-04-07 22:46:44";2,67
"2023-04-07 23:06:44";2,67
"2023-04-07 23:26:44";2,67
"2023-04-07 23:46:44";2,67
"2023-04-08 00:06:44";2,68
"2023-04-08 00:26:44";2,68
"2023-04-08 00:46:44";2,68
"2023-04-08 01:06:43";2,68
"2023-04-08 01:26:44";2,68
"2023-04-08 01:46:43";2,68
"2023-04-08 02:26:43";2,69
"2023-04-08 02:46:43";2,69
"2023-04-08 03:06:43";2,69
"2023-04-08 03:26:42";2,69
"2023-04-08 03:46:43";2,69
"2023-04-08 04:06:43";2,69
"2023-04-08 04:26:43";2,7
"2023-04-08 04:46:43";2,7
"2023-04-08 05:06:43";2,7
"2023-04-08 05:26:43";2,7
"2023-04-08 05:46:43";2,7
"2023-04-08 06:06:43";2,7
"2023-04-08 06:26:43";2,7
"2023-04-08 06:46:43";2,71
"2023-04-08 07:06:43";2,71
"2023-04-08 07:26:42";2,71
"2023-04-08 07:46:42";2,71
"2023-04-08 08:06:42";2,71
"2023-04-08 08:26:42";2,71
"2023-04-08 08:46:43";2,71
"2023-04-08 09:06:43";2,7
"2023-04-08 09:26:43";2,7
"2023-04-08 09:46:42";2,7
"2023-04-08 10:06:43";2,69
"2023-04-08 10:26:42";2,69
"2023-04-08 10:46:42";2,69
"2023-04-08 11:06:42";2,68
"2023-04-08 11:26:42";2,68
"2023-04-08 11:46:42";2,68
"2023-04-08 12:06:42";2,67
"2023-04-08 12:26:42";2,67
"2023-04-08 12:46:42";2,66
"2023-04-08 13:06:42";2,66
"2023-04-08 13:26:42";2,65
"2023-04-08 13:46:42";2,65
"2023-04-08 14:06:41";2,64
"2023-04-08 14:26:41";2,64
"2023-04-08 14:46:42";2,63
"2023-04-08 15:06:42";2,63
"2023-04-08 15:26:42";2,62
"2023-04-08 15:46:41";2,62
"2023-04-08 16:06:42";2,62
"2023-04-08 16:26:41";2,61
"2023-04-08 16:46:42";2,61
"2023-04-08 17:06:42";2,61
"2023-04-08 17:26:42";2,61
"2023-04-08 17:46:42";2,61
"2023-04-08 18:06:41";2,6
"2023-04-08 18:26:42";2,6
"2023-04-08 18:46:41";2,6
"2023-04-08 19:06:41";2,6
"2023-04-08 19:26:41";2,61
"2023-04-08 19:46:41";2,61
"2023-04-08 20:06:41";2,61
"2023-04-08 20:26:41";2,61
"2023-04-08 20:46:41";2,61
"2023-04-08 21:06:41";2,61
"2023-04-08 21:26:41";2,61
"2023-04-08 21:46:41";2,62
"2023-04-08 22:06:41";2,62
"2023-04-08 22:26:41";2,62
"2023-04-08 22:46:41";2,63
"2023-04-08 23:06:41";2,63
"2023-04-08 23:26:41";2,63
"2023-04-08 23:46:41";2,63
"2023-04-09 00:06:41";2,63
"2023-04-09 00:26:41";2,64
"2023-04-09 00:46:41";2,64
"2023-04-09 01:06:41";2,64
"2023-04-09 01:26:41";2,64
"2023-04-09 01:46:41";2,65
"2023-04-09 02:06:41";2,65
"2023-04-09 02:26:41";2,65
"2023-04-09 02:46:40";2,65
"2023-04-09 03:06:41";2,66
"2023-04-09 03:26:40";2,66
"2023-04-09 03:46:40";2,66
"2023-04-09 04:06:40";2,66
"2023-04-09 04:26:40";2,66
"2023-04-09 04:46:40";2,67
"2023-04-09 05:06:40";2,67
"2023-04-09 05:26:40";2,67
"2023-04-09 05:46:40";2,67
"2023-04-09 06:06:39";2,67
"2023-04-09 06:26:40";2,68
"2023-04-09 06:46:40";2,68
"2023-04-09 07:06:40";2,68
"2023-04-09 07:26:40";2,68
"2023-04-09 07:46:39";2,68
"2023-04-09 08:06:40";2,68
"2023-04-09 08:26:40";2,68
"2023-04-09 08:46:40";2,68
"2023-04-09 09:06:40";2,68
"2023-04-09 09:26:40";2,67
"2023-04-09 09:46:39";2,67
"2023-04-09 10:06:40";2,67
"2023-04-09 10:26:40";2,67
"2023-04-09 10:46:40";2,66
"2023-04-09 11:06:40";2,66
"2023-04-09 11:26:40";2,66
"2023-04-09 11:46:40";2,65
"2023-04-09 12:06:40";2,65
"2023-04-09 12:26:39";2,64
"2023-04-09 12:46:39";2,64
"2023-04-09 13:06:39";2,63
"2023-04-09 13:26:39";2,63
"2023-04-09 13:46:39";2,63
"2023-04-09 14:06:39";2,62
"2023-04-09 14:26:39";2,62
"2023-04-09 14:46:39";2,61
"2023-04-09 15:06:39";2,61
"2023-04-09 15:26:39";2,6
"2023-04-09 15:46:39";2,6
"2023-04-09 16:06:39";2,6
"2023-04-09 16:26:39";2,6
"2023-04-09 16:46:38";2,59
"2023-04-09 17:06:39";2,59
"2023-04-09 17:26:39";2,59
"2023-04-09 17:46:39";2,59
"2023-04-09 18:06:39";2,59
"2023-04-09 18:26:38";2,59
"2023-04-09 18:46:39";2,59
"2023-04-09 19:06:38";2,59
"2023-04-09 19:26:39";2,59
"2023-04-09 19:46:39";2,6
"2023-04-09 20:06:39";2,6
"2023-04-09 20:26:38";2,6
"2023-04-09 20:46:39";2,6
"2023-04-09 21:06:38";2,61
"2023-04-09 21:26:38";2,61
"2023-04-09 21:46:38";2,61
"2023-04-09 22:06:38";2,62
"2023-04-09 22:26:38";2,62
"2023-04-09 22:46:38";2,62
"2023-04-09 23:06:38";2,62
"2023-04-09 23:26:38";2,63
"2023-04-09 23:46:38";2,63
"2023-04-10 00:06:38";2,63
"2023-04-10 00:26:38";2,63
"2023-04-10 00:46:38";2,64
"2023-04-10 01:06:38";2,64
"2023-04-10 01:26:38";2,64
"2023-04-10 01:46:38";2,65
"2023-04-10 02:06:38";2,65
"2023-04-10 02:26:38";2,65
"2023-04-10 02:46:38";2,65
"2023-04-10 03:06:38";2,66
"2023-04-10 03:26:38";2,66
"2023-04-10 03:46:38";2,66
"2023-04-10 04:06:38";2,66
"2023-04-10 04:26:37";2,67
"2023-04-10 04:46:38";2,67
"2023-04-10 05:06:38";2,67
"2023-04-10 05:26:38";2,67
"2023-04-10 05:46:38";2,67
"2023-04-10 06:06:37";2,68
"2023-04-10 06:26:37";2,68
"2023-04-10 06:46:37";2,68
"2023-04-10 07:06:37";2,69
"2023-04-10 07:26:37";2,69
"2023-04-10 07:46:37";2,69
"2023-04-10 08:06:37";2,69
"2023-04-10 08:26:37";2,69
"2023-04-10 08:46:37";2,69
"2023-04-10 09:06:37";2,69
"2023-04-10 09:26:37";2,68
"2023-04-10 09:46:37";2,68
"2023-04-10 10:06:37";2,68
"2023-04-10 10:26:37";2,68
"2023-04-10 10:46:37";2,67
"2023-04-10 11:06:36";2,67
"2023-04-10 11:26:37";2,67
"2023-04-10 11:46:37";2,66
"2023-04-10 12:06:36";2,66
"2023-04-10 12:26:36";2,66
"2023-04-10 12:46:36";2,65
"2023-04-10 13:06:37";2,65
"2023-04-10 13:26:37";2,64
"2023-04-10 13:46:37";2,64
"2023-04-10 14:06:37";2,63
"2023-04-10 14:26:36";2,62
"2023-04-10 14:46:36";2,62
"2023-04-10 15:06:36";2,61
"2023-04-10 15:26:36";2,61
"2023-04-10 15:46:36";2,61
"2023-04-10 16:06:36";2,6
"2023-04-10 16:26:36";2,6
"2023-04-10 16:46:36";2,6
"2023-04-10 17:06:36";2,59
"2023-04-10 17:26:36";2,59
"2023-04-10 17:46:36";2,59
"2023-04-10 18:06:36";2,59
"2023-04-10 18:26:36";2,59
"2023-04-10 18:46:36";2,59
"2023-04-10 19:06:36";2,59
"2023-04-10 19:26:36";2,59
"2023-04-10 19:46:36";2,59
"2023-04-10 20:06:35";2,59
"2023-04-10 20:26:36";2,6
"2023-04-10 20:46:36";2,6
"2023-04-10 21:06:36";2,6
"2023-04-10 21:26:35";2,6
"2023-04-10 21:46:35";2,61
"2023-04-10 22:06:36";2,61
"2023-04-10 22:26:36";2,61
"2023-04-10 22:46:36";2,61
"2023-04-10 23:06:35";2,62
"2023-04-10 23:26:35";2,62
"2023-04-10 23:46:35";2,62
"2023-04-11 00:06:35";2,62
