"DateTime";"Humedad Suelo %"
"2023-04-06 18:53:52";8,84
"2023-04-06 19:13:52";8,84
"2023-04-06 19:53:51";8,83
"2023-04-06 20:13:52";8,83
"2023-04-06 20:33:52";8,81
"2023-04-06 20:53:52";8,81
"2023-04-06 21:13:52";8,81
"2023-04-06 21:33:52";8,8
"2023-04-06 21:53:52";8,8
"2023-04-06 22:13:52";8,79
"2023-04-06 22:33:52";8,79
"2023-04-06 22:53:52";8,78
"2023-04-06 23:13:52";8,78
"2023-04-06 23:33:52";8,78
"2023-04-06 23:53:52";8,78
"2023-04-07 00:13:52";8,78
"2023-04-07 00:33:52";8,78
"2023-04-07 00:53:52";8,77
"2023-04-07 01:13:52";8,78
"2023-04-07 01:33:52";8,77
"2023-04-07 01:53:52";8,78
"2023-04-07 02:13:52";8,77
"2023-04-07 02:33:52";8,77
"2023-04-07 02:53:52";8,77
"2023-04-07 03:13:52";8,77
"2023-04-07 03:33:52";8,77
"2023-04-07 03:53:52";8,77
"2023-04-07 04:13:52";8,76
"2023-04-07 04:33:52";8,76
"2023-04-07 04:53:52";8,76
"2023-04-07 05:13:52";8,75
"2023-04-07 05:33:52";8,75
"2023-04-07 05:53:52";8,74
"2023-04-07 06:13:52";8,74
"2023-04-07 06:33:52";8,73
"2023-04-07 06:53:52";8,72
"2023-04-07 07:13:52";8,72
"2023-04-07 07:33:52";8,71
"2023-04-07 07:53:52";8,69
"2023-04-07 08:13:52";8,68
"2023-04-07 08:33:52";8,67
"2023-04-07 08:53:52";8,67
"2023-04-07 09:13:52";8,65
"2023-04-07 09:53:52";8,63
"2023-04-07 10:13:52";8,63
"2023-04-07 10:33:52";8,62
"2023-04-07 10:53:52";8,62
"2023-04-07 11:13:52";8,61
"2023-04-07 11:33:52";8,6
"2023-04-07 11:53:52";8,59
"2023-04-07 12:13:52";8,59
"2023-04-07 12:33:52";8,59
"2023-04-07 12:53:52";8,59
"2023-04-07 13:13:52";8,59
"2023-04-07 13:33:52";8,59
"2023-04-07 13:53:52";8,58
"2023-04-07 14:13:52";8,58
"2023-04-07 14:33:52";8,58
"2023-04-07 14:53:52";8,58
"2023-04-07 15:13:52";8,58
"2023-04-07 15:33:52";8,58
"2023-04-07 15:53:52";8,58
"2023-04-07 16:13:52";8,57
"2023-04-07 16:33:52";8,57
"2023-04-07 16:53:52";8,57
"2023-04-07 17:13:52";8,57
"2023-04-07 17:33:52";8,57
"2023-04-07 17:53:52";8,57
"2023-04-07 18:13:52";8,57
"2023-04-07 18:33:52";8,57
"2023-04-07 18:53:52";8,57
"2023-04-07 19:13:52";8,56
"2023-04-07 19:33:52";8,57
"2023-04-07 19:53:52";8,57
"2023-04-07 20:13:52";8,57
"2023-04-07 20:33:52";8,57
"2023-04-07 20:53:52";8,57
"2023-04-07 21:13:52";8,56
"2023-04-07 21:33:52";8,56
"2023-04-07 21:53:52";8,56
"2023-04-07 22:13:52";8,56
"2023-04-07 22:33:52";8,56
"2023-04-07 22:53:52";8,56
"2023-04-07 23:13:52";8,55
"2023-04-07 23:33:52";8,55
"2023-04-07 23:53:52";8,55
"2023-04-08 00:13:52";8,55
"2023-04-08 00:33:52";8,54
"2023-04-08 00:53:52";8,53
"2023-04-08 01:13:52";8,53
"2023-04-08 01:33:52";8,52
"2023-04-08 01:53:52";8,52
"2023-04-08 02:13:52";8,51
"2023-04-08 02:33:52";8,5
"2023-04-08 02:53:52";8,5
"2023-04-08 03:13:52";8,49
"2023-04-08 03:33:52";8,48
"2023-04-08 03:53:52";8,47
"2023-04-08 04:13:52";8,46
"2023-04-08 04:33:52";8,46
"2023-04-08 04:53:52";8,45
"2023-04-08 05:13:52";8,44
"2023-04-08 05:33:52";8,43
"2023-04-08 05:53:52";8,43
"2023-04-08 06:13:52";8,41
"2023-04-08 06:33:52";8,41
"2023-04-08 06:53:52";8,4
"2023-04-08 07:13:52";8,39
"2023-04-08 07:33:52";8,38
"2023-04-08 07:53:52";8,38
"2023-04-08 08:13:52";8,38
"2023-04-08 08:33:52";8,38
"2023-04-08 08:53:52";8,38
"2023-04-08 09:33:52";8,37
"2023-04-08 09:53:52";8,37
"2023-04-08 10:13:52";8,37
"2023-04-08 10:53:52";8,37
"2023-04-08 11:13:52";8,37
"2023-04-08 11:33:52";8,37
"2023-04-08 11:53:52";8,37
"2023-04-08 12:13:52";8,36
"2023-04-08 12:33:52";8,37
"2023-04-08 12:53:52";8,36
"2023-04-08 13:13:52";8,36
"2023-04-08 13:33:52";8,36
"2023-04-08 13:53:52";8,35
"2023-04-08 14:13:52";8,36
"2023-04-08 14:33:52";8,35
"2023-04-08 14:53:52";8,36
"2023-04-08 15:13:52";8,35
"2023-04-08 15:33:52";8,35
"2023-04-08 15:53:52";8,35
"2023-04-08 16:13:52";8,35
"2023-04-08 16:33:52";8,35
"2023-04-08 16:53:52";8,35
"2023-04-08 17:13:52";8,35
"2023-04-08 17:33:52";8,35
"2023-04-08 17:53:52";8,35
"2023-04-08 18:13:52";8,35
"2023-04-08 18:33:52";8,35
"2023-04-08 18:53:52";8,35
"2023-04-08 19:13:52";8,35
"2023-04-08 19:33:52";8,34
"2023-04-08 19:53:52";8,34
"2023-04-08 20:13:52";8,34
"2023-04-08 20:33:52";8,34
"2023-04-08 20:53:52";8,34
"2023-04-08 21:13:52";8,34
"2023-04-08 21:33:52";8,34
"2023-04-08 21:53:52";8,34
"2023-04-08 22:13:52";8,34
"2023-04-08 22:33:53";8,34
"2023-04-08 22:53:52";8,33
"2023-04-08 23:13:52";8,33
"2023-04-08 23:33:52";8,33
"2023-04-08 23:53:53";8,32
"2023-04-09 00:13:53";8,32
"2023-04-09 00:33:53";8,32
"2023-04-09 00:53:53";8,31
"2023-04-09 01:13:52";8,31
"2023-04-09 01:33:53";8,3
"2023-04-09 01:53:53";8,29
"2023-04-09 02:13:53";8,29
"2023-04-09 02:33:53";8,29
"2023-04-09 02:53:52";8,28
"2023-04-09 03:13:53";8,27
"2023-04-09 03:33:53";8,26
"2023-04-09 03:53:53";8,26
"2023-04-09 04:13:52";8,25
"2023-04-09 04:33:52";8,25
"2023-04-09 05:13:53";8,23
"2023-04-09 05:33:53";8,22
"2023-04-09 05:53:53";8,21
"2023-04-09 06:13:53";8,21
"2023-04-09 06:33:53";8,2
"2023-04-09 06:53:53";8,19
"2023-04-09 07:13:53";8,18
"2023-04-09 07:33:53";8,17
"2023-04-09 07:53:53";8,16
"2023-04-09 08:13:53";8,16
"2023-04-09 08:33:53";8,16
"2023-04-09 08:53:53";8,15
"2023-04-09 09:13:53";8,15
"2023-04-09 09:33:53";8,15
"2023-04-09 10:13:53";8,15
"2023-04-09 10:33:53";8,14
"2023-04-09 10:53:53";8,14
"2023-04-09 11:13:53";8,14
"2023-04-09 11:33:53";8,14
"2023-04-09 11:53:53";8,13
"2023-04-09 12:13:53";8,13
"2023-04-09 12:33:53";8,13
"2023-04-09 12:53:53";8,13
"2023-04-09 13:13:53";8,13
"2023-04-09 13:33:53";8,13
"2023-04-09 13:53:53";8,13
"2023-04-09 14:13:53";8,13
"2023-04-09 14:33:53";8,12
"2023-04-09 14:53:53";8,12
"2023-04-09 15:13:53";8,12
"2023-04-09 15:33:53";8,12
"2023-04-09 15:53:53";8,12
"2023-04-09 16:13:53";8,12
"2023-04-09 16:33:52";8,12
"2023-04-09 16:53:53";8,12
"2023-04-09 17:13:53";8,12
"2023-04-09 17:33:53";8,12
"2023-04-09 17:53:53";8,12
"2023-04-09 18:13:53";8,12
"2023-04-09 18:33:53";8,12
"2023-04-09 18:53:53";8,12
"2023-04-09 19:13:53";8,12
"2023-04-09 19:33:53";8,12
"2023-04-09 19:53:53";8,12
"2023-04-09 20:13:53";8,12
"2023-04-09 20:33:53";8,11
"2023-04-09 20:53:53";8,11
"2023-04-09 21:13:53";8,11
"2023-04-09 21:33:53";8,11
"2023-04-09 21:53:52";8,11
"2023-04-09 22:13:53";8,1
"2023-04-09 22:33:53";8,1
"2023-04-09 22:53:53";8,1
"2023-04-09 23:13:53";8,1
"2023-04-09 23:33:53";8,09
"2023-04-10 00:13:53";8,09
"2023-04-10 00:33:53";8,08
"2023-04-10 00:53:53";8,08
"2023-04-10 01:13:53";8,08
"2023-04-10 01:33:53";8,07
"2023-04-10 01:53:53";8,06
"2023-04-10 02:13:52";8,06
"2023-04-10 02:33:52";8,04
"2023-04-10 02:53:53";8,04
"2023-04-10 03:13:53";8,03
"2023-04-10 03:33:52";8,02
"2023-04-10 03:53:53";8,01
